Front	Back	Category
One minute of tape, two scores — name the axes and what each counts.	Effort = contracts changing hands (unsigned participation). Effect = price movement produced. Cross them day-relative and the minute lands in one of four cells: F1 conviction / F2 absorption / F3 hollow / F4 dead.	Foundation::09::Cells
A minute travels 5 points but closes where it opened. Which number catches this, and what does it mean?	Travel-ratio (displacement ÷ travel) near 0 — a round trip: a fight that ended where it started, not stillness. Displacement alone would score it "no effect."	Foundation::09::Cells
Where does the 1-minute lens hide half the day's violence?	Inside F2 absorption cells: 50.6% of range-travel is invisible to displacement, and 82.5% of that hides in F2 minutes. Absorption minutes are internally violent wars, not quiet ones.	Foundation::09::Cells
Why is force (signed delta) recorded on every atom but NOT a matrix axis?	Effort answers "how much business," force answers "which side pressed" — different quantities. Keeping them separate is what lets the counterforce-leg exist: price moving THROUGH opposing force.	Foundation::09::Cells
"Graded F1 at 0.62" versus "is F1" — why does the wording matter?	The 2×2 grid is imposed on a smooth surface (no natural clusters). Cell membership is a coordinate, not an identity; the grade says how far from the boundary the label sits.	Foundation::09::Grades
What must you say when a label falls in the coin-flip grade-band?	The straddled pair, never the bare cell — "F3/F4 coin-flip." One classification in five sits there (20.4% of atoms); reporting the pair is the vocabulary being honest, not failing.	Foundation::09::Grades
Cutpoint versus threshold.	Cutpoints SORT (pace 0.75 divides flush-leg from steady-leg; the grade measures distance from it). Thresholds ACT (the reversal threshold ends a leg; 150 contracts of delta fires the flip-stage). Bare "cut" stays reserved for cutting a position.	Foundation::09::Grades
Describe the zigzag decomposition in one breath.	Redraw the day with the fewest alternating pen strokes that capture every swing bigger than the reversal threshold (20% of the day's final range). Each stroke is a leg; sub-threshold wiggle is absorbed into the leg as texture.	Foundation::09::Legs
Why is 7/22's 4-point opening trap at 7533 not its own leg?	The day's reversal threshold was 7.65 pts; a 4-pt excursion is under threshold, so it lives INSIDE leg 1 as atom-scale texture. Structure below the threshold is the atoms' job, not the zigzag's.	Foundation::09::Legs
Name the two big-leg facts that matter for fly entries.	Big legs keep what they take (flush-leg median giveback 5% — the extreme tends to hold), and legs die hot (pivot-atoms grade F1 conviction 63% — turns are killed by opposition, not faded). Honest exception: 37% of pivots are quiet.	Foundation::09::Legs
Falling price, blue (buy-dominant) footers. Which archetype, and which standing watch applies?	Counterforce-leg — price falling through net buying, trapped buyers all the way down (specimen: 2026-07-27 open, −81.75 pts on +3,033 delta). Direction Inversion Watch territory by construction: name the direction anchor out loud.	Foundation::09::Legs
What is dead-drift, and why does the taxonomy keep such a boring name?	The residual majority: 32.4% of legs are nothing happening. Naming the nothing honestly is what makes the other seven names mean something.	Foundation::09::Legs
Thrust, parry — then what? Name the two stories and the discipline.	Parry FAILS → micro-stall (pause inside a living leg, conviction resumes). Parry HOLDS and force turns → stall-stage (the leg dying into a possible trap). Indistinguishable in the moment; the next atoms decide. The discipline is sitting with the ambiguity instead of resolving it early.	Foundation::09::Discrimination
7/22 afternoon: atoms nearly all F4-dead, the leg grades F1. Contradiction?	No — tiers measure different things. 221 minutes of small efforts SUM to corpus-scale mass; atom grades are day-relative texture, leg grades are corpus-wide. Speaking rule: say which tier you mean.	Foundation::09::Discrimination
Your old words — sweep, absorption, divergence. Replaced?	Kept, addressed: they are episode-tier primitives (sweep-print, absorption-read, delta-divergence) — the LIVE tier, machine-emitted, exactly where they always were. The taxonomy gave every word an address; it took none away.	Foundation::09::Tiers
Which tier do your yea/nay decisions ride on, and why?	The LIVE tier only — stages, primitives, confirmation-events, raw atom fields. Every percentile, cell, archetype, and leg boundary is HINDSIGHT (needs the completed day); hindsight grades the tape, it never asks you for a decision.	Foundation::09::Live-vs-Hindsight
The V-signature wins 77.5% vs 46.9% base. Why is it not a live entry rule?	Both inputs are hindsight: percentiles rank against the COMPLETED day, and a leg pivot exists only after the retracement proves it. Turning it live needs developing-day percentiles and provisional pivots — open engineering. Until then it grades trades; it doesn't take them.	Foundation::09::Live-vs-Hindsight
Host-leg direction splits confirmation win rates how — and what may you do with that today?	66% with the host leg vs 19% against it — the strongest single separator found. It is a HINDSIGHT diagnostic: use it to grade and study, not to enter. "Don't fade the leg" becomes measurable, not yet tradeable.	Foundation::09::Live-vs-Hindsight
Why did "band" need a partner word?	It crosses domains: VWAP-bands are price envelopes on the chart; grade-bands are certainty stripes on a label. Same word, two referents on the same desk — so bare "band" is banned and the compound carries the sense. (Steve's catch.)	Foundation::09::Known-Snags
The narrative said archetypes "sat this day out" yet gave sightings. What was wrong, and what is the rule?	The sightings were from OTHER corpus days and the prose didn't say so — a provenance ambiguity. Rule: every claim wears its origin; a sentence that knows where its evidence came from must say it.	Foundation::09::Known-Snags
"Silhouette" — is it vocabulary?	No. It was coach improvisation, never defined in any surface — the exact failure the lexicon exists to prevent. If a word is worth using, it enters lexicon.yaml first; the linter enforces the rest.	Foundation::09::Known-Snags
An agent said your fly "expired worthless" twelve minutes before the close. What rule was broken and what is the fix?	Liveness at statement time: market outcomes before the bell are forecasts, not facts — no settlement claims pre-close; phrase as probability with "as of <time>". (An index quoting no bid/ask proves nothing about the clock — indexes never quote one.)	Foundation::09::Known-Snags
"An accuracy briefing says ""423 signals across 182 days."" You only studied 7/24. What are the 182 days?"	The backtest: the software replayed over all stored history (182 scorable days), graded as if watching live. Accuracy numbers always come from the whole corpus — one day's handful of signals proves nothing.	Foundation::09::Harness
What is an anchor, in one sentence?	A price level the software is told to watch — almost always a level from the letter. The recognizer sees nothing but the tape and its anchors.	Foundation::09::Harness
"Fire #4 at the same level: buy signals win 31%. Steve's instinct: ""flip it."" Why is that instinct legitimate here?"	The scoring race is symmetric (±5 first-touch), so a 31% long literally is a 69% short by the same rule. The fade held in both time halves and strengthens with depth (75% by fire #6). Caveats: really ~17 clustered days, not in the first hour, and a 5-point race is not a trade plan. (Bead: Fade The Fourth Fire.)	Foundation::09::Selection
Where does the signal edge concentrate in the day, and where does it die?	Concentrates: first hour (54% wins, typical winner ~13 pts — the day's best slice). Dies: midday — the noon hour wins 18%, hour 10 wins 27%. Lunch chop kills the pattern.	Foundation::09::Selection
A level fires its first signal of the day. How much should you trust it, and what changed in 2026?	Less than you'd think: fire #1 won 59% in older data but only 37% since June — the largest unexplained drift in the system. Treat "first touch is the clean one" as an open question, not a rule.	Foundation::09::Selection
Does the recognition engine see market internals (TICK, breadth)?	No — it reads only the ES tape and its anchor levels. Internals live in a separate instrument (the MI gauge, −100..+100 with a named driver) built for the trader's eyes; joining the two streams is an open measured question.	Foundation::09::Harness
"The scoring rule grades a signal ""loss"" even though price later rallied 15 points. Why keep such a harsh rule?"	First-touch ±5 measures call quality with zero judgment calls: did the trade work before it hurt? Softening the rule would smuggle trade management into a measurement of the machine. P&L is a separate question that belongs to sizing — the trader's seat.	Foundation::09::Harness
What does "held out-of-sample" actually claim about a pattern? (hunt-pile / drawer-pile)	Patterns are hunted only in the OLDER half of the stored days; the recent half stays locked in a drawer. A finished rule must then work on the drawer days it never saw. Works there = likely real market behavior; only worked where we hunted = memorized coincidence, thrown out however good it looked. Snag card 07-31: term first landed as jargon.	Foundation::09::Harness
In "graded F2" — what does the F stand for, and where did the codes come from?	F is for FRAME: the drill catalog's Part II frame scenarios — one paused bar, "what is happening in this cell?" Siblings: S1-S6 (level-engagement Scenarios), T1-T3 (Tempo). The 07-28 taxonomy inherited the already-ratified drill names instead of minting new ones, so "graded F2" = this bar read through drill frame #2, absorption. Snag card 07-31: origin was stated nowhere.	Foundation::09::Selection
