Front	Back	Category
Mancini calls ES moves asymmetric. Name the two directions and the phrase for each.	Up = "stairs up" (slow, grinding). Down = "elevator down" (sharp, vertical, cutting through several supports with ease). The asymmetry is the whole reason his edge is long-only.	Mancini::Vocabulary
What is an "elevator down" and how often does it appear?	A sharp vertical flush cutting through multiple supports. Typically one per session, lasting minutes to hours. It is the precondition for his entry — never the entry itself.	Mancini::Vocabulary
Name the two "siblings" that are always paired in ES.	Elevator-down sell and short squeeze. Every sharp flush is followed by a squeeze of comparable ferocity — but only once a Failed Breakdown or Level Reclaim triggers it.	Mancini::Vocabulary
What are the three accepted definitions of a "significant low"?	(1) The prior day's low. (2) A multi-hour low, or one that travelled 20+ points. (3) A cluster or shelf of lows. A Failed Breakdown is measured against one of these — not against any random low.	Mancini::Vocabulary
Describe the Failed Breakdown sequence in three stages.	Price flushes a significant low → shorts chase the breakdown and get trapped → price recovers the low. The recovery is what starts the squeeze.	Mancini::Vocabulary
In a Failed Breakdown, which moment is the trigger — the flush or the recovery?	The recovery. "Not a moment before, and if you try to knife before this trigger event, you will lose." Buying the flush itself is the classic way to lose on this setup.	Mancini::Vocabulary
What is a "quick trap"?	A price event: a shallow, fast poke below a level that reverses before anyone settles. Same mechanism as a Failed Breakdown, compressed — a few points and a few bars instead of 10-20 points and an hour.	Mancini::Vocabulary
In a quick trap, who is trapped, and what actually fuels the move back up?	The shorts who chased the breakdown. Their stop-buys, firing as price reclaims the level, are the fuel. The trap is about the traders on the wrong side, never about price itself.	Mancini::Vocabulary
What is "acceptance", and what is it for?	Price action required BEFORE entry so you don't rush in and get trapped: price tries to sell at or above the significant low, then returns to it. The market showing you it wants to be there.	Mancini::Vocabulary
State the non-acceptance protocol exactly.	It triggers when price recovers the significant low by 5 points AND holds at or above that for a couple of minutes. Example: significant low 7744, so 7744 + 5 = 7749.	Mancini::Vocabulary
When does the non-acceptance protocol exist to be used?	Fast markets where price does not pause around the significant low and just rips through — i.e. where acceptance had no time to form. Mancini uses it whenever acceptance isn't obvious.	Mancini::Vocabulary
Quick trap and non-acceptance — same thing or different? Say precisely how.	Different. The quick trap is WHAT PRICE DID; the non-acceptance protocol is HOW YOU CONFIRM IT. They travel together, because a quick trap leaves no time for acceptance to build — but they are not the same thing.	Mancini::Vocabulary
Can you get non-acceptance without a quick trap?	Yes. A deep flush that simply rips straight back — 20 points down, straight back up, no loitering — is non-acceptance without being quick. Depth and speed are separate properties.	Mancini::Vocabulary
"Non-acceptance" — bullish or bearish? Why is this a trap?	BULLISH. It means price did not accept BELOW the level. The word sounds negative, so it is very easy to read backwards.	Mancini::Vocabulary
Where do most Failed Breakdown losses occur?	In the 5 points above the significant low — the danger zone. Entering there requires clear acceptance; if it is noisy or uncertain, wait for the non-acceptance protocol instead.	Mancini::Vocabulary
State the Golden Rule and the number attached to it.	90% of intraday moves do not follow through into a trend or near-trend day; only 10% trend cleanly open to close. Price takes the most complex, trappy path from A to B.	Mancini::Vocabulary
Given the Golden Rule, what is the required trade-management response?	Trade level to level. Lock in ~75% at the first level up, move the stop, take more at the second level, leave ~10% as a runner. Never predict how far a move goes.	Mancini::Vocabulary
What would acceptance look like on a footprint? (inferred — untested on our tape)	FAT. Price sits at and below the level, volume accumulates at each price, a high-volume node forms. The stacking of contracts is the literal evidence for "price wants to be here."	Mancini::Footprint-Hypothesis
What would a quick trap look like on a footprint? (inferred — untested on our tape)	THIN. Price travels fast so few contracts trade at each price — a low-volume node forming in real time. Same event Carmine calls an LVN.	Mancini::Footprint-Hypothesis
Two order-flow tells that a flush low is failing rather than extending.	(1) Delta divergence — new low in price, no new low in delta. (2) Absorption — delta stays strongly negative but the range stops extending, because passive bids are eating the market sells.	Mancini::Footprint-Hypothesis
Why should the recovery run FAST back through the flush zone?	Because the flush left a thin, low-volume zone with no shelf of resting volume to slow price down. That speed on the way back is the trap springing.	Mancini::Footprint-Hypothesis
At ES scale, why does footprint granularity matter for the 5-point rule?	5 points is roughly 0.06%. On a one-tick-per-row footprint the thin-vs-fat distinction is real; aggregate too coarsely and it washes out entirely.	Mancini::Footprint-Hypothesis
